"rowid","productidnamekey"
897,"OFF-EN-10001099-Staple envelope"
5905,"OFF-PA-10000143-Astroparche Fine Business Paper"
1819,"OFF-AP-10001394-Harmony Air Purifier"
1716,"OFF-BI-10003314-Tuff Stuff Recycled Round Ring Binders"
440,"FUR-CH-10003396-Global Deluxe Steno Chair"
9441,"OFF-PA-10001471-Strathmore Photo Frame Cards"
5902,"FUR-FU-10001889-Ultra Door Pull Handle"
2561,"OFF-ST-10000046-Fellowes Super Stor/Drawer Files"
7735,"OFF-AR-10004441-BIC Brite Liner Highlighters"
7304,"FUR-CH-10003817-Global Value Steno Chair, Gray"
6817,"OFF-FA-10000624-OIC Binder Clips"
3424,"OFF-BI-10002215-Wilson Jones Hanging View Binder, White, 1"""
767,"OFF-BI-10004187-3-ring staple pack"
8942,"OFF-BI-10002813-Avery Reinforcements for Hole-Punch Pages"
8989,"OFF-AR-10004078-Newell 312"
5019,"TEC-AC-10003832-Logitech†P710e Mobile Speakerphone"
491,"OFF-AR-10001953-Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener"
494,"TEC-AC-10000991-Sony Micro Vault Click 8 GB USB 2.0 Flash Drive"
4406,"OFF-ST-10001558-Acco Perma 4000 Stacking Storage Drawers"
5477,"OFF-ST-10001291-Tenex Personal Self-Stacking Standard File Box, Black/Gray"
1851,"TEC-AC-10002253-Imation Bio 8GB USB†Flash Drive Imation†Corp"
5897,"OFF-PA-10004947-Easy-staple paper"
9885,"TEC-AC-10001284-Enermax Briskie RF Wireless Keyboard and Mouse Combo"
2011,"OFF-PA-10002137-Southworth 100% RÈsumÈ Paper, 24lb."
6156,"OFF-ST-10000142-Deluxe Rollaway Locking File with Drawer"
4298,"TEC-PH-10001459-Samsung Galaxy Mega 6.3"
9453,"OFF-BI-10004001-GBC Recycled VeloBinder Covers"
6410,"OFF-PA-10000300-Xerox 1936"
1519,"OFF-BI-10002827-Avery Durable Poly Binders"
3807,"OFF-AR-10001246-Newell 317"
6315,"OFF-AR-10000380-Hunt PowerHouse Electric Pencil Sharpener, Blue"
7779,"OFF-BI-10002353-GBC VeloBind Cover Sets"
5828,"FUR-CH-10004860-Global Low Back Tilter Chair"
3366,"FUR-BO-10003966-Sauder Facets Collection Library, Sky Alder Finish"
6828,"OFF-BI-10004600-Ibico Ibimaster 300 Manual Binding System"
5197,"OFF-EN-10001434-Strathmore #10 Envelopes, Ultimate White"
3597,"OFF-PA-10000788-Xerox 210"
4116,"OFF-BI-10004632-Ibico Hi-Tech Manual Binding System"
2581,"OFF-PA-10003072-Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream"
